imageL,imageU,ShowLowerLandtrials_Loop.thisRepN,ShowLowerLandtrials_Loop.thisTrialN,ShowLowerLandtrials_Loop.thisN,ShowLowerLandtrials_Loop.thisIndex,ShowUpperLandtrials_Loop.thisRepN,ShowUpperLandtrials_Loop.thisTrialN,ShowUpperLandtrials_Loop.thisN,ShowUpperLandtrials_Loop.thisIndex,UpperLand_trials.thisRepN,UpperLand_trials.thisTrialN,UpperLand_trials.thisN,UpperLand_trials.thisIndex,text.started,text_2.started,Upper_button.started,Lower_button.started,mouse.started,Upper_button.numClicks,Upper_button.timesOn,Upper_button.timesOff,Lower_button.numClicks,Lower_button.timesOn,Lower_button.timesOff,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,image.started,text_5.started,yes_button.started,no_button.started,yes_button.numClicks,yes_button.timesOn,yes_button.timesOff,no_button.numClicks,no_button.timesOn,no_button.timesOff,text_3.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,15.507257819001097,18.53161116800038,18.53161116800038,18.53161116800038,0.001690334000159055,1,[4.6296281129762065],[4.629631891992176],0,,,[-0.2857142857142857],[-0.20285714285714285],[1],[0],[0],[4.62950106599601],,,,,,,,,,,,596822,001,2023-03-13_16h31.23.706,SEAL_LandTrav,2022.2.4,61.71543025243585,
TravImages/Landmark1_book.jpeg,TravImages/Landmark7_painting.jpeg,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,23.995052426995244,23.995052426995244,23.995052426995244,23.995052426995244,1,[11.008318399981363],[11.008322090987349],1,[11.005860637000296],[11.00586401601322],,596822,001,2023-03-13_16h31.23.706,SEAL_LandTrav,2022.2.4,61.71543025243585,
TravImages/Landmark2_painting.jpeg,TravImages/Landmark8_painting.jpeg,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,35.3953284730087,35.3953284730087,35.3953284730087,35.3953284730087,2,"[11.008318399981363, 0.5183050229970831]","[11.008322090987349, 0.5183098769921344]",2,"[11.005860637000296, 0.5166230930190068]","[11.00586401601322, 0.5166268490138464]",,596822,001,2023-03-13_16h31.23.706,SEAL_LandTrav,2022.2.4,61.71543025243585,
TravImages/Landmark3_waterfountain.jpeg,TravImages/Landmark9_painting.jpeg,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,36.34366299898829,36.34366299898829,36.34366299898829,36.34366299898829,3,"[11.008318399981363, 0.5183050229970831, 0.1570805209921673]","[11.008322090987349, 0.03210876299999654, 0.15708520999760367]",3,"[11.005860637000296, 0.5166230930190068, 0.1554648650053423]","[11.00586401601322, 0.029593657003715634, 0.15547294399584644]",,596822,001,2023-03-13_16h31.23.706,SEAL_LandTrav,2022.2.4,61.71543025243585,
TravImages/Landmark4_vase.jpeg,TravImages/Landmark10_statue.jpeg,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,36.847138779994566,36.847138779994566,36.847138779994566,36.847138779994566,4,"[11.008318399981363, 0.5183050229970831, 0.1570805209921673, 0.18614513601642102]","[11.008322090987349, 0.03210876299999654, 0.09423664401401766, 0.1861564550199546]",4,"[11.005860637000296, 0.5166230930190068, 0.1554648650053423, 0.18417987000430003]","[11.00586401601322, 0.029593657003715634, 0.09288109600311145, 0.18418810900766402]",,596822,001,2023-03-13_16h31.23.706,SEAL_LandTrav,2022.2.4,61.71543025243585,
TravImages/Landmark5_painting.jpeg,TravImages/Landmark11_painting.jpeg,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,37.492062996985624,37.492062996985624,37.492062996985624,37.492062996985624,5,"[11.008318399981363, 0.5183050229970831, 0.1570805209921673, 0.18614513601642102, 0.10957434799638577]","[11.008322090987349, 0.03210876299999654, 0.09423664401401766, 0.003076950990362093, 0.10957809200044721]",5,"[11.005860637000296, 0.5166230930190068, 0.1554648650053423, 0.18417987000430003, 0.10679121501743793]","[11.00586401601322, 0.029593657003715634, 0.09288109600311145, 0.00028317500255070627, 0.10679518699180335]",,596822,001,2023-03-13_16h31.23.706,SEAL_LandTrav,2022.2.4,61.71543025243585,
TravImages/Landmark6_map.jpeg,TravImages/Landmark12_statue.jpeg,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,38.03342154700658,38.03342154700658,38.03342154700658,38.03342154700658,5,"[11.008318399981363, 0.5183050229970831, 0.1570805209921673, 0.18614513601642102, 0.10957434799638577]","[11.008322090987349, 0.03210876299999654, 0.09423664401401766, 0.003076950990362093, 0.05553668501670472]",6,"[11.005860637000296, 0.5166230930190068, 0.1554648650053423, 0.18417987000430003, 0.10679121501743793, 0.1309262329887133]","[11.00586401601322, 0.029593657003715634, 0.09288109600311145, 0.00028317500255070627, 0.054189743008464575, 0.13092971700825728]",,596822,001,2023-03-13_16h31.23.706,SEAL_LandTrav,2022.2.4,61.71543025243585,
TravImages/Landmark7_painting.jpeg,TravImages/Landmark1_book.jpeg,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,39.07940662500914,39.07940662500914,39.07940662500914,39.07940662500914,6,"[11.008318399981363, 0.5183050229970831, 0.1570805209921673, 0.18614513601642102, 0.10957434799638577, 0.00302913598716259]","[11.008322090987349, 0.03210876299999654, 0.09423664401401766, 0.003076950990362093, 0.05553668501670472, 0.003032640990568325]",6,"[11.005860637000296, 0.5166230930190068, 0.1554648650053423, 0.18417987000430003, 0.10679121501743793, 0.1309262329887133]","[11.00586401601322, 0.029593657003715634, 0.09288109600311145, 0.00028317500255070627, 0.054189743008464575, 0.0002925260050687939]",,596822,001,2023-03-13_16h31.23.706,SEAL_LandTrav,2022.2.4,61.71543025243585,
TravImages/Landmark8_painting.jpeg,TravImages/Landmark2_painting.jpeg,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,39.07940662500914,39.07940662500914,39.07940662500914,39.07940662500914,7,"[11.008318399981363, 0.5183050229970831, 0.1570805209921673, 0.18614513601642102, 0.10957434799638577, 0.00302913598716259, 0.11274319799849764]","[11.008322090987349, 0.03210876299999654, 0.09423664401401766, 0.003076950990362093, 0.05553668501670472, 0.0031517970201093704, 0.11275644099805504]",7,"[11.005860637000296, 0.5166230930190068, 0.1554648650053423, 0.18417987000430003, 0.10679121501743793, 0.1309262329887133, 0.11094859099830501]","[11.00586401601322, 0.029593657003715634, 0.09288109600311145, 0.00028317500255070627, 0.054189743008464575, 0.0006067979848012328, 0.1109559370088391]",,596822,001,2023-03-13_16h31.23.706,SEAL_LandTrav,2022.2.4,61.71543025243585,
TravImages/Landmark9_painting.jpeg,TravImages/Landmark3_waterfountain.jpeg,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,39.53255859899218,39.53255859899218,39.53255859899218,39.53255859899218,8,"[11.008318399981363, 0.5183050229970831, 0.1570805209921673, 0.18614513601642102, 0.10957434799638577, 0.00302913598716259, 0.11274319799849764, 0.02945026199449785]","[11.008322090987349, 0.03210876299999654, 0.09423664401401766, 0.003076950990362093, 0.05553668501670472, 0.0031517970201093704, 0.11275644099805504, 0.029454412986524403]",8,"[11.005860637000296, 0.5166230930190068, 0.1554648650053423, 0.18417987000430003, 0.10679121501743793, 0.1309262329887133, 0.11094859099830501, 0.027506065991474316]","[11.00586401601322, 0.029593657003715634, 0.09288109600311145, 0.00028317500255070627, 0.054189743008464575, 0.0006067979848012328, 0.1109559370088391, 0.0275115380063653]",,596822,001,2023-03-13_16h31.23.706,SEAL_LandTrav,2022.2.4,61.71543025243585,
