image,LandTrav_trials.thisRepN,LandTrav_trials.thisTrialN,LandTrav_trials.thisN,LandTrav_trials.thisIndex,text.started,text_2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,Landmark.started,text_4.started,nobutton.started,yesbutton.started,nobutton.numClicks,nobutton.timesOn,nobutton.timesOff,yesbutton.numClicks,yesbutton.timesOn,yesbutton.timesOff,text_3.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,8.471843699997407,11.480123599991202,11.480123599991202,space,1.9974942000117153,,,,,,,,,,,,792745,001,2023-02-21_10h57.18.427,SEAL_LandTrav,2022.2.5,59.9894418581505,
TravImages/Landmark1_book.jpeg,0,0,0,0,,,,,,13.935858499986352,13.935858499986352,13.935858499986352,13.935858499986352,1,[2.0689655000023777],[2.068974399997387],0,,,,792745,001,2023-02-21_10h57.18.427,SEAL_LandTrav,2022.2.5,59.9894418581505,
TravImages/Landmark2_painting.jpeg,0,1,1,1,,,,,,16.424630499997875,16.424630499997875,16.424630499997875,16.424630499997875,2,"[2.0689655000023777, 1.149816799996188]","[2.068974399997387, 1.149825000000419]",0,,,,792745,001,2023-02-21_10h57.18.427,SEAL_LandTrav,2022.2.5,59.9894418581505,
TravImages/Landmark3_WaterFountain.jpeg,0,2,2,2,,,,,,17.76416329998756,17.76416329998756,17.76416329998756,17.76416329998756,2,"[2.0689655000023777, 1.149816799996188]","[2.068974399997387, 1.149825000000419]",1,[0.7606613999960246],[0.7606732999993255],,792745,001,2023-02-21_10h57.18.427,SEAL_LandTrav,2022.2.5,59.9894418581505,
TravImages/Landmark4_vase.jpeg,0,3,3,3,,,,,,18.90466609998839,18.90466609998839,18.90466609998839,18.90466609998839,3,"[2.0689655000023777, 1.149816799996188, 0.84967609999876]","[2.068974399997387, 1.149825000000419, 0.8496844999899622]",1,[0.7606613999960246],[0.7606732999993255],,792745,001,2023-02-21_10h57.18.427,SEAL_LandTrav,2022.2.5,59.9894418581505,
TravImages/Landmark5_painting.jpeg,0,4,4,4,,,,,,20.22409809999226,20.22409809999226,20.22409809999226,20.22409809999226,3,"[2.0689655000023777, 1.149816799996188, 0.84967609999876]","[2.068974399997387, 1.149825000000419, 0.8496844999899622]",2,"[0.7606613999960246, 0.5650471999979345]","[0.7606732999993255, 0.5650552000006428]",,792745,001,2023-02-21_10h57.18.427,SEAL_LandTrav,2022.2.5,59.9894418581505,
TravImages/Landmark6_map.jpeg,0,5,5,5,,,,,,21.347417400000268,21.347417400000268,21.347417400000268,21.347417400000268,3,"[2.0689655000023777, 1.149816799996188, 0.84967609999876]","[2.068974399997387, 1.149825000000419, 0.8496844999899622]",3,"[0.7606613999960246, 0.5650471999979345, 0.8353539999952773]","[0.7606732999993255, 0.5650552000006428, 0.8353635999956168]",,792745,001,2023-02-21_10h57.18.427,SEAL_LandTrav,2022.2.5,59.9894418581505,
TravImages/Landmark7_painting.jpeg,0,6,6,6,,,,,,22.556052399988403,22.556052399988403,22.556052399988403,22.556052399988403,3,"[2.0689655000023777, 1.149816799996188, 0.84967609999876]","[2.068974399997387, 1.149825000000419, 0.8496844999899622]",4,"[0.7606613999960246, 0.5650471999979345, 0.8353539999952773, 0.6999061000096845]","[0.7606732999993255, 0.5650552000006428, 0.8353635999956168, 0.6999181999999564]",,792745,001,2023-02-21_10h57.18.427,SEAL_LandTrav,2022.2.5,59.9894418581505,
TravImages/Landmark8_painting.jpeg,0,7,7,7,,,,,,23.64863029999833,23.64863029999833,23.64863029999833,23.64863029999833,4,"[2.0689655000023777, 1.149816799996188, 0.84967609999876, 0.8904181999969296]","[2.068974399997387, 1.149825000000419, 0.8496844999899622, 0.8904229000036139]",4,"[0.7606613999960246, 0.5650471999979345, 0.8353539999952773, 0.6999061000096845]","[0.7606732999993255, 0.5650552000006428, 0.8353635999956168, 0.6999181999999564]",,792745,001,2023-02-21_10h57.18.427,SEAL_LandTrav,2022.2.5,59.9894418581505,
TravImages/Landmark9_painting.jpeg,0,8,8,8,,,,,,24.898698799996055,24.898698799996055,24.898698799996055,24.898698799996055,5,"[2.0689655000023777, 1.149816799996188, 0.84967609999876, 0.8904181999969296, 0.9288250999961747]","[2.068974399997387, 1.149825000000419, 0.8496844999899622, 0.8904229000036139, 0.9288309999974445]",4,"[0.7606613999960246, 0.5650471999979345, 0.8353539999952773, 0.6999061000096845]","[0.7606732999993255, 0.5650552000006428, 0.8353635999956168, 0.6999181999999564]",,792745,001,2023-02-21_10h57.18.427,SEAL_LandTrav,2022.2.5,59.9894418581505,
